image_id,type,condition,method,ground_truth,extracted_text,processing_time,cer,wer
printed_003_blur,printed,blur,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.515,0.0,0.0
printed_003_dark,printed,dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5555,0.0,0.0
printed_003_dark,printed,dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,3.0527,0.0,0.0
printed_003_dark,printed,dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4165,0.0,0.0
printed_003_normal,printed,normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4165,0.0,0.0
printed_003_normal,printed,normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.716,0.0,0.0
printed_003_normal,printed,normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4314,0.0,0.0
printed_003_rotated,printed,rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4092,0.0,0.0
printed_003_rotated,printed,rotated,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,kalimat pertama Ini adalah OCR. pengujian untuk contoh,2.8742,0.7963,0.875
printed_003_rotated,printed,rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5998,0.0,0.0
printed_004_blur,printed,blur,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Oy aan COMO Makna pertama wha pergunan 0.,0.4789,0.537,0.875
printed_004_blur,printed,blur,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ooh,2.3633,0.963,1.0
printed_004_blur,printed,blur,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,ini adaiah conton kalimat pertama untuk pengujian OCR,0.407,0.0741,0.5
printed_004_dark,printed,dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.514,0.0,0.0
printed_004_dark,printed,dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.5266,0.0,0.0
printed_004_dark,printed,dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4954,0.0,0.0
printed_004_normal,printed,normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5166,0.0,0.0
printed_004_normal,printed,normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.6448,0.0,0.0
printed_004_normal,printed,normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.6068,0.0,0.0
printed_004_rotated,printed,rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adatan contoh kalimat pertama untuk pengujian OCR.,0.5141,0.037,0.125
printed_004_rotated,printed,rotated,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,untuk adalah kalimat OCR pengujian pertamna contoh,2.598,0.6481,0.75
printed_004_rotated,printed,rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4829,0.0,0.0
printed_005_blur,printed,blur,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian,0.5876,0.0926,0.125
printed_005_blur,printed,blur,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Inlodalah contoh Kallmat portama untuk ponoullan OCR,2.5424,0.2037,0.75
printed_005_blur,printed,blur,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.6304,0.0,0.0
printed_005_dark,printed,dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.6216,0.0,0.0
printed_005_dark,printed,dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.6042,0.0,0.0
printed_005_dark,printed,dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4154,0.0,0.0
printed_005_normal,printed,normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5701,0.0,0.0
printed_005_normal,printed,normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.3051,0.0,0.0
printed_005_normal,printed,normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.516,0.0,0.0
printed_005_rotated,printed,rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4403,0.0,0.0
printed_005_rotated,printed,rotated,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,untuk Ini adalah contoh kalimat OCR pengujian pertama,2.6366,0.4815,0.5
printed_005_rotated,printed,rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5691,0.0,0.0
printed_006_blur,printed,blur,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian,0.3915,0.0926,0.125
printed_006_blur,printed,blur,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,IolOalsl (ooioa Aahuoi Petioue Origap rerile Oek,2.4298,0.7222,1.0
printed_006_blur,printed,blur,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5484,0.0,0.0
printed_006_dark,printed,dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.2964,0.0,0.0
printed_006_dark,printed,dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contob kalimat pertama untuk pengujian OCR _,2.4866,0.0556,0.375
printed_006_dark,printed,dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5037,0.0,0.0
printed_006_normal,printed,normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3399,0.0,0.0
printed_006_normal,printed,normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR,2.6284,0.0185,0.125
printed_006_normal,printed,normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.7805,0.0,0.0
printed_006_rotated,printed,rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4585,0.0,0.0
printed_006_rotated,printed,rotated,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,untuk adalah kalimat OCR. pengujian pertama coutol Ini,2.8201,0.7407,0.875
printed_006_rotated,printed,rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5913,0.0,0.0
printed_007_blur,printed,blur,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,,0.5432,1.0,1.0
printed_007_blur,printed,blur,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,oacooa 0,3.1478,0.8889,1.0
printed_007_blur,printed,blur,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,iniadaiah contohkalmat pertamauntukpenguiar OCR.,0.7631,0.1667,0.875
printed_007_dark,printed,dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3319,0.0,0.0
printed_007_dark,printed,dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.669,0.0,0.0
printed_007_dark,printed,dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3596,0.0,0.0
printed_007_normal,printed,normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3966,0.0,0.0
printed_007_normal,printed,normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR,2.8688,0.0185,0.125
printed_007_normal,printed,normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4845,0.0,0.0
printed_007_rotated,printed,rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh Kalimat pertama untuk pengujian OCR.,0.6634,0.0185,0.125
printed_007_rotated,printed,rotated,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,untuk adalah contoh kalimat OCR. pengujlan Pertama,2.8519,0.463,0.625
printed_007_rotated,printed,rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5764,0.0,0.0
printed_008_blur,printed,blur,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian coca.,0.7164,0.0741,0.125
printed_008_blur,printed,blur,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,{6l Gaalan Coaron {ler Derran Carur Denqyjion Ocr :,3.3765,0.5926,1.125
printed_008_blur,printed,blur,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.547,0.0,0.0
printed_008_dark,printed,dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.2942,0.0,0.0
printed_008_dark,printed,dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR .,3.6789,0.0185,0.25
printed_008_dark,printed,dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujiar OCR.,0.8788,0.0185,0.125
printed_008_normal,printed,normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4864,0.0,0.0
printed_008_normal,printed,normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.8037,0.0,0.0
printed_008_normal,printed,normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujiar OCR.,0.6706,0.0185,0.125
printed_008_rotated,printed,rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4987,0.0,0.0
printed_008_rotated,printed,rotated,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,ian kalimat Ini OCR. penguj untuk pertana contoh adalah,2.811,0.7778,1.0
printed_008_rotated,printed,rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5596,0.0,0.0
printed_009_blur,printed,blur,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Int edelen conten kalimat pertama watak pengujian,0.4863,0.2778,0.625
printed_009_blur,printed,blur,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,,2.478,1.0,1.0
printed_009_blur,printed,blur,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah conteh kalimat pertama untuk pengujian OC.R.,0.4482,0.037,0.25
printed_009_dark,printed,dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian ocr.,0.4589,0.0556,0.125
printed_009_dark,printed,dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah ccntch kalima pertama untuk pengujian OCR .,2.7795,0.0741,0.5
printed_009_dark,printed,dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.6273,0.0,0.0
printed_009_normal,printed,normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian ocr.,0.4197,0.0556,0.125
printed_009_normal,printed,normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,In1 adalah catc: kalima pertama untuk pengujian OcR.,2.7132,0.1296,0.5
printed_009_normal,printed,normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.647,0.0,0.0
printed_009_rotated,printed,rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian ocr.,0.3926,0.0556,0.125
printed_009_rotated,printed,rotated,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,uncuk Penguj ian contoh kalima Pertama In1 adalah OCR.,2.3915,0.5,0.875
printed_009_rotated,printed,rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4862,0.0,0.0
printed_010_blur,printed,blur,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian,0.361,0.0926,0.125
printed_010_blur,printed,blur,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Intodalah conton Bolimat portomguntuk ponoujon OCr,2.6204,0.2963,1.0
printed_010_blur,printed,blur,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3914,0.0,0.0
printed_010_dark,printed,dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4416,0.0,0.0
printed_010_dark,printed,dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.3912,0.0,0.0
printed_010_dark,printed,dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4335,0.0,0.0
printed_010_normal,printed,normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3433,0.0,0.0
printed_010_normal,printed,normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.5247,0.0,0.0
printed_010_normal,printed,normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4558,0.0,0.0
printed_010_rotated,printed,rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3667,0.0,0.0
printed_010_rotated,printed,rotated,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,untuk Ini adalah contoh kalimat OCR. pengujian pertama,2.3752,0.4815,0.5
printed_010_rotated,printed,rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3798,0.0,0.0
printed_011_blur,printed,blur,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian,0.467,0.0926,0.125
printed_011_blur,printed,blur,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Intadalan conton Kalimat pertama untuk penquan OCR,2.5854,0.1667,0.75
printed_011_blur,printed,blur,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4508,0.0,0.0
printed_011_dark,printed,dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4224,0.0,0.0
printed_011_dark,printed,dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.5206,0.0,0.0
printed_011_dark,printed,dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4024,0.0,0.0
printed_011_normal,printed,normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3863,0.0,0.0
printed_011_normal,printed,normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.5496,0.0,0.0
printed_011_normal,printed,normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4315,0.0,0.0
printed_011_rotated,printed,rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4652,0.0,0.0
printed_011_rotated,printed,rotated,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,kalimat pertama Ini adalah OCR. pengujian untuk contoh,2.5825,0.7963,0.875
printed_011_rotated,printed,rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.6103,0.0,0.0
printed_012_blur,printed,blur,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,TN aah LAM Matana Pen ama ont peng ane,0.4231,0.5741,1.125
printed_012_blur,printed,blur,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,,2.1334,1.0,1.0
printed_012_blur,printed,blur,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,ini adalahcontoh kalimat pertama untuk pengujian OCR,0.3466,0.0556,0.5
printed_012_dark,printed,dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian ocr.,0.3306,0.0556,0.125
printed_012_dark,printed,dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR,2.3656,0.0185,0.125
printed_012_dark,printed,dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4181,0.0,0.0
printed_012_normal,printed,normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian ‘ocr.,0.5489,0.0741,0.125
printed_012_normal,printed,normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR,5.0149,0.0185,0.125
printed_012_normal,printed,normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.804,0.0,0.0
printed_012_rotated,printed,rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.6008,0.0,0.0
printed_012_rotated,printed,rotated,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,"Ini adalah contoh kalimat OCR. pengujian untuk pertama ,",3.1649,0.3889,0.5
printed_012_rotated,printed,rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5047,0.0,0.0
printed_013_blur,printed,blur,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4445,0.0,0.0
printed_013_blur,printed,blur,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,In adalan Contoh Kalimal Pertana Unluk Penqvjian OCR .,2.9977,0.2407,1.125
printed_013_blur,printed,blur,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5409,0.0,0.0
printed_013_dark,printed,dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4893,0.0,0.0
printed_013_dark,printed,dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR _,2.4696,0.037,0.25
printed_013_dark,printed,dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5899,0.0,0.0
printed_013_normal,printed,normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4688,0.0,0.0
printed_013_normal,printed,normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR,3.0298,0.0185,0.125
printed_013_normal,printed,normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4502,0.0,0.0
printed_013_rotated,printed,rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5574,0.0,0.0
printed_013_rotated,printed,rotated,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,ian untuk contoh kalimat Ini adalah OCR penguj pertama,3.0905,0.537,0.875
printed_013_rotated,printed,rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.6281,0.0,0.0
